,Posts,clean_posts,len,Sentiment
0,"['For a recent meetup I wanted to query the website ', ""Unfortunately Power BI isn't compatible with the API this provider uses.  They use a 308 Permanent redirect as the initial response, requiring an additional request. After a bit of digging Power Query only handles redirects up to 307.  I have a suspicion this is .net problem, hence, may not be within control of the Power BI team to sort out."", 'I used this blockage to test out using a Python script as a data source for Power BI.', 'The Python web client has no problem handling 308 redirects, thankfully.', ""I'm running Python under a Conda environment so I had to set the options in Power BI to look at this environment path."", 'I then created Python code and tested it with VS Code.  Note, to get the script working with Power BI you need to install packages for pandas and matplotlib.', 'Power Query is not very good at processing JSON,hence, I cleaned the data in Python and constructed the Data Frame with individual lists so I could take care of missing elements.   ', 'Once your happy with the data, open Power BI and Get Data from Python Script.', 'Paste in the Python Script.', 'Power BI will then execute the script returning data like any other data, giving you the option to Load or Transform.', 'I did a little data cleaning in Power Query as there is some data held in nested lists.', 'In summary, you have a quite a bit of Power to extend the Get Data source without having to learn about the Custom Connector route. I hope Microsoft handle 308 responses soon as I only had to write this code due to the non-conformance of the ', ""If any MVP's pick this bug up I would appreciate you feeding back to Microsoft as I expect more and more providers to use 308 redirects for future proofing."", '© 2019 Lee Hawthorn']",recent meetup want queri websit unfortun power bi compat api provid use use perman redirect initi respons requir addit request bit dig power queri handl redirect suspicion net problem henc may within control power bi team sort use blockag test use python script data sourc power bi python web client problem handl redirect thank run python conda environ set option power bi look environ path creat python code test vs code note get script work power bi need instal packag panda matplotlib power queri good process json henc clean data python construct data frame individu list could take care miss element happi data open power bi get data python script past python script power bi execut script return data like data give option load transform littl data clean power queri data held nest list summari quit bit power extend get data sourc without learn custom connector rout hope microsoft handl respons soon write code due non conform mvp pick bug would appreci feed back microsoft expect provid use redirect futur proof lee hawthorn,1034,1
1,"['This is a post for demonstrating NLTK for Sentiment Analysis ', 'Save me, from this way', 'It be, killing me', 'Yeah I been sitting here dreaming,', 'Yea one day, of being free', 'Save me, save me, save me, oh save me.', 'Save me, from this girl', 'She be, killing me', 'I been sitting here dreaming', 'Yea one day, of being free', 'Save me, save me, who gonna save me? Yea save me.', 'Save me, from this song', 'It be boring me', 'I been sitting here dreaming', 'Yea one day, of being free', 'Save me, save me, who gonna save me, save me yea, save me', 'who gonna save me, baby hang on, save me, hang on, save me', 'yea gonna save me, who gonna save me', 'yea but who gonna save me, oh who gonna save me...diddly-bo', 'very bad negative song terrible and sad', '© 2019 Lee Hawthorn']",post demonstr nltk sentiment analysi save way kill yeah sit dream yea one day free save save save oh save save girl kill sit dream yea one day free save save gonna save yea save save song bore sit dream yea one day free save save gonna save save yea save gonna save babi hang save hang save yea gonna save gonna save yea gonna save oh gonna save diddli bo bad neg song terribl sad lee hawthorn,393,1
2,"['In this post I give an example of making a prediction with R stats for a type of business problem that requires a classification prediction.', 'The business question being answered is to evaluate the safety standard of cars based on certain parameters and classify them to predict Car Acceptability.', 'This data is obtained from ', 'There are many types of models that can be used for this such as Logistic Regression, Discriminant Analysis, Random Forests, and many others. You can spend a lifetime studying these.', ""We'll use an R package called Nnet to fit a single-hidden-layer neural network."", 'But before we do the modelling we need to load the data and process it to test/training sets.', ""We're predicting the "", 'Have a look at the data with the following commands', ""We'll train the model on 70% of random rows leaving the other 30% for testing."", 'The model is built.', 'The parameters used in the nnet() function can be tuned to improve performance. ', 'You can check the residuals with', ""Once you're happy with the model you can run the prediction."", 'Evaluate the prediction.', ""With Machine Learning models an important communication ability to being able to explain a model in terms of intuition. This can be tricky with Neural Networks as it's modelled after the brain !"", 'I recommend the article ', 'You can plot a Neural Network from nnet() to assist in this task. You need to install an extra function.', 'Neural Networks are a powerful unsupervised learning method to make predictions.  On this data set I found Neural Networks beat Random Forests.  You should always run different models to find the optimal results.', '© 2019 Lee Hawthorn']",post give exampl make predict r stat type busi problem requir classif predict busi question answer evalu safeti standard car base certain paramet classifi predict car accept data obtain mani type model use logist regress discrimin analysi random forest mani other spend lifetim studi use r packag call nnet fit singl hidden layer neural network model need load data process test train set predict look data follow command train model random row leav test model built paramet use nnet function tune improv perform check residu happi model run predict evalu predict machin learn model import commun abil abl explain model term intuit tricki neural network model brain recommend articl plot neural network nnet assist task need instal extra function neural network power unsupervis learn method make predict data set found neural network beat random forest alway run differ model find optim result lee hawthorn,907,-1
3,"['Power BI can use a wide variety of data sources.  This is one of the things that makes it very powerful.', 'In this post I show how you can use an R script as a data source.', 'If you have folks in your team that can program R you can take advantage of the power that R gives you i.e. run predictive analysis such as time series analysis or predict customer churn and all sorts of other analysis.  Of course, you can learn it yourself too.', 'All you need to do is provide an R data frame at the bottom of your R script.', ""Here's a simple script you can use that queries Google Trend data."", 'You can see in R Studio that ', 'When you have the script running in R Studio copy the code and open Power BI and select Get Data.  Select R Script from the Other menu.', 'You can then paste in the script.', 'At this point Power BI will run the R code and return the data.', 'I want to remove some columns so I click Edit.  Select the Date, Hits, Keyword column and then select from the menu : Remove Columns : Remove Other Columns', 'You can close and apply as per usual and create whatever visual you need.', 'You can publish the PBIX to a workspace and refresh it through a Gateway.  I tried to do this but I received a error :', 'I tried with even simpler R but this had the same error. Hopefully this bug will be sorted out.', 'Many folks are experiencing this ', "" Being able to run R scripts unlocks the power in the R ecosystem.  You're also able to process R visuals too."", ' It would be great if the R code could be run in the service so code like the example could refresh without a gateway.  I suppose this is too much to ask.  Hopefully Microsoft sort out the Bugs with the refresh.', '© 2019 Lee Hawthorn']",power bi use wide varieti data sourc one thing make power post show use r script data sourc folk team program r take advantag power r give e run predict analysi time seri analysi predict custom churn sort analysi cours learn need provid r data frame bottom r script simpl script use queri googl trend data see r studio script run r studio copi code open power bi select get data select r script menu past script point power bi run r code return data want remov column click edit select date hit keyword column select menu remov column remov column close appli per usual creat whatev visual need publish pbix workspac refresh gateway tri receiv error tri even simpler r error hope bug sort mani folk experienc abl run r script unlock power r ecosystem also abl process r visual would great r code could run servic code like exampl could refresh without gateway suppos much ask hope microsoft sort bug refresh lee hawthorn,920,1
4,"[""Cleaning data is a big part of Data Science.  Being able to script data cleaning makes it repeatable and transparent.  The best tools to do this with in my opinion are R/Python/Power Query/SQL. In this post I take some scrapped Football data and clean it up with Tidyverse packages in the R stats eco-system.  I've also created a basic Shiny app to show how this data can be further analysed."", 'The packages you need for this can be installed with tidyverse ', 'First thing to do is load the CSV data into R memory.', 'Note, this is going into a ', ""This data has many fields that I'm not going to use in this case."", 'There are around 27K rows as this data covers European football from 2005 to 2019.', ""So first step is to select the fields we're interested in."", 'We can use the Select() function to do this:', ""I don't want the Players in rows in this case, hence, a pivot is required."", 'We can use Gather() to do this:', 'This has exploded the rows to around 60K. ', ""There's a little more data cleaning.  "", 'Just a little cleaning up of the workspace left.', 'There are lots of choices to make with cleaning.  In this case I was interested in seeing Player data.  If you wanted to see Match data there would be different cleaning i.e. probably no need for the pivot.', 'With R Stats we can publish apps quite easily with Shiny.', 'I decided to try out the RpivotTable package.', ""If you're new to Shiny we need to create a Server.R and UI.R script."", ""Here's my server.R code"", 'The UI data is very simple:', 'This creates a web based Pivot table that can be used to explore data.  ', ""I've published the complete code to "", 'There are many ways to skin a cat with R.  The ', 'Shiny provides for rapid development of data applications. ', 'If you want to practice, some other actions that can be used to enhance the data :', 'The CSV is available on ', '© 2019 Lee Hawthorn']",clean data big part data scienc abl script data clean make repeat transpar best tool opinion r python power queri sql post take scrap footbal data clean tidyvers packag r stat eco system also creat basic shini app show data analys packag need instal tidyvers first thing load csv data r memori note go data mani field go use case around k row data cover european footbal first step select field interest use select function want player row case henc pivot requir use gather explod row around k littl data clean littl clean workspac left lot choic make clean case interest see player data want see match data would differ clean e probabl need pivot r stat publish app quit easili shini decid tri rpivott packag new shini need creat server r ui r script server r code ui data simpl creat web base pivot tabl use explor data publish complet code mani way skin cat r shini provid rapid develop data applic want practic action use enhanc data csv avail lee hawthorn,960,1
5,"['SQL Server Integration Services (SSIS) is a mature data integration tool bundled with SQL Server.', ""SSIS like many other tools can lead to 'dependency hell'.  This is where packages or stored procedures are developed that carry out many tasks.  With many of these packages it can be very hard for a new developer to understand the dependencies.  This makes for expensive maintenance, testing, error recovery."", 'There are frameworks around that can limit this. ', ""One of the execution frameworks I've had lots of success with is "", ""Sprockit is a powerful but lightweight ETL process controller for managing SSIS packages and T-SQL stored procedure execution. It's free, open-source and written purely in T-SQL. Richard Swinbank developed it. "", 'In this post I will show how you can create a diagram of dependencies with R stats.', 'Taking up from the end of the ', 'We first need to create a stored procedure that we can query from R.  This procedure creates Digraph text.', 'I have to give a lot of credit to Richard as he developed the initial SQL before I hacked it to work with DiagrammeR', ""I've included some format code in the code above."", 'This code is used by ', 'You can adjust this code for your own taste.', 'With this stored procedure done we can look at the R code.', ""I'm using RODBC to connect to SQL Server.  The database is on my machine and I am an admin on the database called SprocketTutorial."", 'When the data gets into R it comes with \\r\\n - these need to be removed.  ', 'Based on the tutorial on Richards site we have the following diagram :', 'You can have a look at the DiagrammeR site as there is a lot more power available for creating these graph diagrams.', 'This diagram is great for helping developers understand the dependencies that are at the heart of the Sprockit execution tool.', 'You can run this code as part of your CR pipeline to ensure your documentation is kept up to date.', '© 2019 Lee Hawthorn']",sql server integr servic ssi matur data integr tool bundl sql server ssi like mani tool lead depend hell packag store procedur develop carri mani task mani packag hard new develop understand depend make expens mainten test error recoveri framework around limit one execut framework lot success sprockit power lightweight etl process control manag ssi packag sql store procedur execut free open sourc written pure sql richard swinbank develop post show creat diagram depend r stat take end first need creat store procedur queri r procedur creat digraph text give lot credit richard develop initi sql hack work diagramm includ format code code code use adjust code tast store procedur done look r code use rodbc connect sql server databas machin admin databas call sprockettutori data get r come r n need remov base tutori richard site follow diagram look diagramm site lot power avail creat graph diagram diagram great help develop understand depend heart sprockit execut tool run code part cr pipelin ensur document kept date lee hawthorn,1038,1
6,"[""There's a new package on CRAN that makes it easier to consume Google Trend data."", 'The package to use is ', ""There are a couple of API's in this package but the interesting one is to compare the terms that are searched : "", 'You need to pass in a vector of terms (5 max).', 'You can then process it with ', ""In the code below I've added some GGMAP code to plot the interest over time. I've restricted the search to GB too but not sure how reliable this is."", 'Code to produce this chart is listed below. All packages used here are on CRAN. I used GNU R 3.6.0.', ""I'll leave it to you to draw any conclusions."", '© 2019 Lee Hawthorn']",new packag cran make easier consum googl trend data packag use coupl api packag interest one compar term search need pass vector term max process code ad ggmap code plot interest time restrict search gb sure reliabl code produc chart list packag use cran use gnu r leav draw conclus lee hawthorn,295,1
7,"['Running R on Linux is better in some cases as you have a full build environment for packages. These are compiled from C/Fortran. If you have software engineers in house this allows any mods to be made to source code if you need it.', 'I use Linux Mint 19.1 which is based on Ubuntu 18.04.', 'To install the latest version of R at the time of writing 3.6.0 I used the following steps:', 'Add a repo to my ', 'Note this is specific to the Ubuntu base packages I have. If on a different version of Ubuntu you can check the correct repo ', 'From a terminal run', 'There are some extra libraries to install for common packages hence run these commands:', 'Install ', 'Once downloaded install the package with your package manager.', 'To get started with R I recommend installing tidyverse. This is a collection of packages to make data science easier.', 'Open up R Studio and run ', 'This will take a while as a number of packages have to be downloaded and built.', 'This should get you a good clean install with a base set of packages.', '© 2019 Lee Hawthorn']",run r linux better case full build environ packag compil c fortran softwar engin hous allow mod made sourc code need use linux mint base ubuntu instal latest version r time write use follow step add repo note specif ubuntu base packag differ version ubuntu check correct repo termin run extra librari instal common packag henc run command instal download instal packag packag manag get start r recommend instal tidyvers collect packag make data scienc easier open r studio run take number packag download built get good clean instal base set packag lee hawthorn,561,-1
8,"[""Power BI is such a usable tool that I've found soon after deployment the data and calculations can grow. This isn't a bad thing as the flexibility allows users to experiment with data sources to understand value etc.."", ""The downside, if data isn't well managed it can lead to slow and unreliable models."", ""There are best practices you can follow but before diving in it's worth setting up a simple framework that includes:"", ""It's important to know about the source of data, is it a SQL Server DB? SSAS Direct Connection? Web Service, Data Warehouse?"", 'Loading data into the Power BI model is different to making a direct query. In my experience using direct query against a relational SQL source requires extensive tuning of the SQL DB. Doing this alone will require a project as SQL DB uses different technology than Power BI.', 'Also, what is the destination? Power BI Pro? Power BI Premium?', 'When are the Power BI models being used and how are they used?', ""If you have a Finance App that is being hit by the Finance department at day -3, -2, -1, 1 then it's important to know this."", ""The Board App could be used by the business leaders for their monthly management meeting. If the Finance leader is telling a story with Power BI you don't want delays as they are navigating through the model."", 'Data size and growth is important too - the model may work fine with 1 million rows but with 100 million things will be different', 'Things you can measure:', 'Focusing on the Power BI model you can focus on two areas that will impact performance in different ways.', 'Data Model', 'The Data Model is important as it determines the level of compression you get from Vertipaq as well as the model size.', ""The better the compression the less data has to be read by Vertipaq, hence, it's a big contributor to model size and speed of queries."", 'Calculated tables, columns, measures', ""For DAX calculations it's a case of identifying the most expensive calculations in use."", 'Rewriting these calculations to improve performance (too deep to go into here)', 'This is going to need advanced DAX skills as well as some understanding of the Vertipaq engine.', 'You can use a variety of tools to measure performance.', 'Optimising Power BI is not an easy task - you can only really learn by doing.  I hope at least you find a good path using the info on this post.', '© 2019 Lee Hawthorn']",power bi usabl tool found soon deploy data calcul grow bad thing flexibl allow user experi data sourc understand valu etc downsid data well manag lead slow unreli model best practic follow dive worth set simpl framework includ import know sourc data sql server db ssa direct connect web servic data warehous load data power bi model differ make direct queri experi use direct queri relat sql sourc requir extens tune sql db alon requir project sql db use differ technolog power bi also destin power bi pro power bi premium power bi model use use financ app hit financ depart day import know board app could use busi leader monthli manag meet financ leader tell stori power bi want delay navig model data size growth import model may work fine million row million thing differ thing measur focus power bi model focu two area impact perform differ way data model data model import determin level compress get vertipaq well model size better compress less data read vertipaq henc big contributor model size speed queri calcul tabl column measur dax calcul case identifi expens calcul use rewrit calcul improv perform deep go go need advanc dax skill well understand vertipaq engin use varieti tool measur perform optimis power bi easi task realli learn hope least find good path use info post lee hawthorn,1302,1
9,"['In this post I will show you how to get started with Apache Spark with Python on Windows.  This post is the first in a series of 3 that is focussed on getting Spark running.', ""In case you are wondering what Apache Spark is, I can tell you it's a unified analytics engine for large-scale data processing."", 'You can run queries using Python/Scala/Java/R/SQL against a diverse range of big data sources i.e Hadoop.  Apache Spark manages the magic to run the job on a cluster of machines to take advantage of parallel processing. ', 'Here are the steps I used to get it running on my Windows 10 laptop, note, you can follow my folder suggestions or use your own.', 'Set up user environment variables :', 'Open up a command prompt and run ', 'A python shell should open.  Check for the Spark text.', 'The Hello World for Spark is the square root test below', ""If you get the result as per below you're good to go."", 'In the next post I will show you how to install a sample database and run a real query.', '© 2019 Lee Hawthorn']",post show get start apach spark python window post first seri focuss get spark run case wonder apach spark tell unifi analyt engin larg scale data process run queri use python scala java r sql divers rang big data sourc e hadoop apach spark manag magic run job cluster machin take advantag parallel process step use get run window laptop note follow folder suggest use set user environ variabl open command prompt run python shell open check spark text hello world spark squar root test get result per good go next post show instal sampl databas run real queri lee hawthorn,573,1
10,"['When we have to deal with time sheet data it can post particular challenges for the DW if not modelled in the right way.', ""This applies to any HR/Service delivery and it's because we only tend to have Start Dates and End Dates in the source system."", 'This makes it very complex and expensive later on to calculate Count of Employees for a specific period. This is because we have to write calculations for a specific time range.', 'This presents a good example of how we can transform the model to make it less expensive for measures.', ""In this post I'll show how we can transform data with TSQL, way before it gets to the final model/mart."", ""Here's an example of some source data for an Employee table. In my experience this is very common."", 'We can transform this table by exploding out rows for each employee for the time range defined. This will make it much easier to create measures as you can simply sum a column like with a normal transaction table.', ""SQL has a join type called CROSS JOIN. It's hardly ever used. CROSS JOIN produces a result set which is the number of rows in the first table multiplied by the number of rows in the second table (with no WHERE clause). This kind of result is called a Cartesian Product."", 'In order to explode out the Employee data we need to CROSS JOIN to a Date/Time table at the grain with which we want to model with later i.e. Day.', 'You should have this Date data in a Calendar Table (very important table in the DW)', 'Step 1', 'This gives Employees * Dates which is not quite what we want as it gives us all employees for all dates.', ""We can add a where predicate to remove rows we don't want."", 'Step 2', ""We're getting there. One problem we still have is the Employee with no Termination Date i.e. the active ones will be excluded from the results."", 'Not a problem as we can run a UNION query too.', 'Step 3', ""The WHERE clause here needs to be customised for your data. In my my data NULL dates are presented as '01/01/1900'. Note also in this case I don't want to show rows for future dates. If you were going use this data for Planning then you would have to consider this."", 'The final SQL is shown below.', 'All you need now is a surrogate key. This makes the beginning of an Employee fact table.', ""Don't assume the sources tables are ready for modelling - when the end users consume your model with Self-Service tools they will have a nicer time with a fact table that has facts rather than a fact-less fact table."", '© 2019 Lee Hawthorn']",deal time sheet data post particular challeng dw model right way appli hr servic deliveri tend start date end date sourc system make complex expens later calcul count employe specif period write calcul specif time rang present good exampl transform model make less expens measur post show transform data tsql way get final model mart exampl sourc data employe tabl experi common transform tabl explod row employe time rang defin make much easier creat measur simpli sum column like normal transact tabl sql join type call cross join hardli ever use cross join produc result set number row first tabl multipli number row second tabl claus kind result call cartesian product order explod employe data need cross join date time tabl grain want model later e day date data calendar tabl import tabl dw step give employe date quit want give us employe date add predic remov row want step get one problem still employe termin date e activ one exclud result problem run union queri step claus need customis data data null date present note also case want show row futur date go use data plan would consid final sql shown need surrog key make begin employe fact tabl assum sourc tabl readi model end user consum model self servic tool nicer time fact tabl fact rather fact less fact tabl lee hawthorn,1292,1
